Brand,model,Year,Age,kmDriven,Transmission,Owner,FuelType,AskPrice
13.0,36.0,2023.0,1.0,2500.0,0.0,0.0,2.0,1800000.0
23.0,317.0,2019.0,5.0,32000.0,1.0,2.0,2.0,575000.0
22.0,329.0,2021.0,3.0,66000.0,1.0,0.0,0.0,1425000.0
38.0,343.0,2016.0,8.0,75000.0,0.0,0.0,2.0,1375000.0
21.0,174.0,2019.0,5.0,71000.0,1.0,0.0,0.0,1275000.0
4.0,8.0,2015.0,9.0,61000.0,0.0,2.0,0.0,1500000.0
3.0,26.0,2011.0,13.0,51000.0,0.0,2.0,2.0,1350000.0
23.0,41.0,2015.0,9.0,75000.0,0.0,2.0,2.0,310000.0
13.0,119.0,2018.0,6.0,39500.0,1.0,0.0,2.0,545000.0
31.0,73.0,2018.0,6.0,120000.0,1.0,0.0,0.0,800000.0
36.0,187.0,2016.0,8.0,65000.0,1.0,2.0,0.0,860000.0
37.0,253.0,2015.0,9.0,65000.0,1.0,0.0,2.0,375000.0
37.0,250.0,2012.0,12.0,68900.0,0.0,2.0,0.0,555000.0
25.0,112.0,2017.0,7.0,68000.0,0.0,0.0,0.0,3090000.0
11.0,115.0,2015.0,9.0,80000.0,0.0,2.0,2.0,465000.0
23.0,41.0,2019.0,5.0,62000.0,1.0,0.0,2.0,360000.0
13.0,349.0,2022.0,2.0,55000.0,1.0,0.0,0.0,1250000.0
37.0,253.0,2015.0,9.0,60000.0,1.0,2.0,2.0,460000.0
